id,text,label,origin,id-type,english,french
https://www.elplural.com/politica/espana/polemica-respuesta-espinosa-monteros-marlaska-despedida-julio-anguita-no-respetaron-distancias_240104102,"Durante su intervenciÃ³n, el vicesecretario de Vox tambiÃ©n ha dejado patente la crisis a la que se enfrenta la derecha despuÃ©s de que Ciudadanos apoyase la pasada prÃ³rroga del estado de alarma, como se espera que tambiÃ©n apoye la que se debate maÃ±ana.",0,news-articles,url,"During his intervention, the vice-secretary of Vox also made clear the crisis that the right is facing after Ciudadanos supported the last extension of the state of alarm, as is expected to also support the one being debated. tomorrow.","Au cours de son intervention, le vice-secrétaire de Vox a également mis en évidence la crise à laquelle la droite est confrontée après que Ciudadanos ait soutenu la dernière prolongation de l'état d'alarme, et qu'il devrait également soutenir celle qui sera débattue demain."
https://www.elplural.com/politica/espana/pablo-iglesias-interrumpido-risas-derecha-el-nivel-desfachatez-senorias-sede-parlamentaria-precedentes_248800102,"Sin embargo, la respuesta iba cargada de un desagradable momento ya quese ha producido un revuelo en el hemiciclo cuando el lÃ­der de Podemos ha asegurado que su familia no tiene ""ningÃºn problema econÃ³mico"", pese a no tener reconocido el derecho de familia numerosa para ambos progenitores al no estar casados.",0,news-articles,url,"However, the response was fraught with an unpleasant moment since there was a commotion in the chamber when the leader of Podemos assured that his family does not have ""any economic problem"", despite not having recognized the right to a large family for both of them. parents not being married.","Cependant, la réponse a été pleine d'un moment désagréable puisqu'il y a eu une agitation dans la chambre lorsque le leader de Podemos a assuré que sa famille n'avait ""aucun problème économique"", bien qu'elle n'ait pas reconnu à tous deux le droit à une famille nombreuse. ... les parents ne sont pas mariés."
https://blogs.elconfidencial.com/espana/mientras-tanto/2023-04-16/pp-psoe-bibloquismo-erc-bildu-feijoo-sanchez_3611663/,Â¿O es que es mejor la situaciÃ³n anterior?,0,news-articles,url,Or is the previous situation better?,Ou la situation précédente est-elle meilleure ?
https://www.newtral.es/estafas-espana-internacionales-vacuna-coronavirus/,Un mecanismo que es conocido como âel timo del CEOâ.,0,news-articles,url,A mechanism that is known as “the CEO scam.”,Un mécanisme connu sous le nom d’« arnaque au PDG ».
http://www.eldiario.es/madrid/Manuela-Carmena-Yusty-opiniones-politicas_0_686631639.html,"Manuela Carmena no recusarÃ¡ a JosÃ© Yusty Bastarreche, el juez que este martes suspendiÃ³ el acto en Madrid a favor del derecho a decidir, a pesar de las opiniones polÃ­ticas en pÃºblico que ha expresado el magistrado.",0,news-articles,url,"Manuela Carmena will not challenge José Yusty Bastarreche, the judge who this Tuesday suspended the event in Madrid in favor of the right to decide, despite the public political opinions that the magistrate has expressed.","Manuela Carmena ne contestera pas José Yusty Bastarreche, le juge qui a suspendu ce mardi l'événement à Madrid en faveur du droit de décider, malgré les opinions politiques publiques exprimées par le magistrat."
https://www.elplural.com/opinion/la-verdadera-historia-de-maria-jesus-botella-un-cuarto-de-siglo-enchufada_119822102,En todo caso es paradigma de la âprofesionalizaciÃ³nâ de determinados polÃ­ticos por hallarse en las cercanÃ­as del poder de los partidos o en el seno de familias poderosas dentro del partido.,0,news-articles,url,"In any case, it is a paradigm of the ""professionalization"" of certain politicians because they are close to the power of the parties or within powerful families within the party.",Il s’agit en tout cas d’un paradigme de « professionnalisation » de certains hommes politiques parce qu’ils sont proches du pouvoir des partis ou au sein de familles puissantes au sein du parti.
https://www.newtral.es/senor-de-los-anillos-videojuego-trayectoria-analisis-derechos/,Resulta que los tomates son una cosa del Nuevo Mundo y no hay ninguno en la Tierra Media pese a lo que te quieran hacer creer los que han hecho las pelÃ­culas.,0,news-articles,url,It turns out that tomatoes are a New World thing and there are none in Middle Earth despite what those who made the movies would have you believe.,"Il s’avère que les tomates sont une chose du Nouveau Monde et qu’il n’y en a pas sur la Terre du Milieu, malgré ce que ceux qui ont réalisé les films voudraient vous faire croire."
https://www.elconfidencial.com/espana/observatorio-electoral/2023-04-17/encuestas-autonomicas-28m-ayuso-mayoria-madrid-pp-vox-aragon-comunidad-valenciana_3605180/,"Otra encuesta realizada por Sigma Dos y publicada por El Mundo dibujaba un empate tÃ©cnico entre PP y PSOE en Sevilla, aunque dejaba a los populares algo por debajo.",0,news-articles,url,"Another survey carried out by Sigma Dos and published by El Mundo drew a technical tie between PP and PSOE in Seville, although it left the popular ones somewhat below.","Une autre enquête réalisée par Sigma Dos et publiée par El Mundo a établi un lien technique entre le PP et le PSOE à Séville, même si elle a laissé les plus populaires un peu en dessous."
http://www.vanitatis.elconfidencial.com/noticias/2017-04-19/manuel-benitez-el-cordobes-martina-fraysse-julio-benitez-divorcio-cierre-sicav_1341412/,"De todos los hijos que participan activamente en las empresas familiares (menos Maribel, nacida en 1968), el hijo de Martina y el HuracÃ¡n de Palma del RÃ­o que mÃ¡s presidencias en las empresas familiares tiene es Julio.",0,news-articles,url,"Of all the children who actively participate in the family businesses (except Maribel, born in 1968), the son of Martina and Huracán de Palma del Río who has the most presidencies in the family businesses is Julio.","De tous les enfants qui participent activement aux entreprises familiales (à l'exception de Maribel, née en 1968), le fils de Martina et Huracán de Palma del Río qui a le plus de présidences dans les entreprises familiales est Julio."
http://www.elconfidencial.com/deportes/formula-1/2016-09-21/rosberg-hamilton-mercedes-f1-mundial-formula-1_1262857/,"Ahora mismo Nico estÃ¡ al mismo nivel que Lewis, quien es probablemente el mejor piloto de la parrilla.",0,news-articles,url,"Right now Nico is on the same level as Lewis, who is probably the best driver on the grid.","À l’heure actuelle, Nico est au même niveau que Lewis, qui est probablement le meilleur pilote de la grille."
